tag_id,stap_s,stap_t,lat_s,lon_s,lat_t,lon_t,s,t,j,start,end,n,distance,bearing,gs_u,gs_v,ws_u,ws_v
5D6,2,3,36.0625,104.9375,34.0625,108.4375,69224,125784,2,2021-10-24T13:30:00Z,2021-10-24T23:30:00Z,1,388.750044909986,123.783185313422,32.27695407963299,-21.692660848539823,-3.9000738669982917,12.607488370651248
5D6,2,3,36.3125,104.6875,34.5625,108.8125,68726,126524,3,2021-10-24T13:30:00Z,2021-10-24T23:30:00Z,1,421.8255479582255,116.1941426424994,37.80978408356768,-18.685733834507875,-3.372237113873293,11.64705070053406
5D6,2,3,36.0625,105.0625,34.6875,108.9375,69472,126771,4,2021-10-24T13:30:00Z,2021-10-24T23:30:00Z,1,383.7058757302215,112.29370438270035,35.463947302785826,-14.607966176524695,-3.0411499742248562,10.516225664987184
5D6,2,3,36.1875,104.9375,34.4375,108.9375,69223,126773,5,2021-10-24T13:30:00Z,2021-10-24T23:30:00Z,1,412.2783407474151,116.92391679558233,36.71974776534875,-18.734352090607988,-3.8171198650451696,10.516944902096556
5D6,2,3,36.4375,104.9375,34.8125,109.6875,69221,128258,6,2021-10-24T13:30:00Z,2021-10-24T23:30:00Z,1,466.46980222547614,111.3375911070674,43.40205626229655,-17.033941156644424,-1.4314849554748572,9.817599666549677
5D6,2,3,36.0625,105.0625,34.0625,109.4375,69472,127768,7,2021-10-24T13:30:00Z,2021-10-24T23:30:00Z,1,456.54456824293516,117.80308203650725,40.34152829445876,-21.37128752065404,-2.969412345318606,10.258105021627811
5D6,2,3,36.1875,105.0625,34.0625,109.3125,69471,127520,8,2021-10-24T13:30:00Z,2021-10-24T23:30:00Z,1,453.4097831611341,120.08746124415086,39.190610815913224,-22.811314804454863,-3.3805216138732925,10.406627414401246
5D6,2,3,35.8125,105.0625,34.5625,108.4375,69474,125780,9,2021-10-24T13:30:00Z,2021-10-24T23:30:00Z,1,337.20062168184705,113.30313827456996,30.935970015219553,-13.387018267853426,-3.3763612337951665,11.84561008569031
5D6,2,3,35.8125,104.9375,34.5625,109.4375,69226,127764,10,2021-10-24T13:30:00Z,2021-10-24T23:30:00Z,1,432.63149772581863,107.38744214500042,41.241792240253766,-12.976345048267696,-3.8472292209045427,11.342023807955934
5D6,3,4,34.9375,109.3125,31.5625,111.1875,127513,180860,1,2021-10-26T13:30:00Z,2021-10-26T22:30:00Z,1,413.0655399863386,154.45782450204513,19.77119621761874,-41.56473563093113,-6.8057982908172665,-3.4467874986267084
5D6,3,4,34.0625,108.4375,30.1875,107.6875,125784,173927,2,2021-10-26T13:30:00Z,2021-10-26T22:30:00Z,1,435.48020796344235,189.55437267974332,-8.024621639247233,-47.90078911431394,-9.04291577128601,1.1351495443420412
5D6,3,4,34.5625,108.8125,32.6875,111.1875,126524,180851,3,2021-10-26T13:30:00Z,2021-10-26T22:30:00Z,1,302.9891101292882,132.6778562370522,24.725903798070078,-22.905400425146592,-5.789071318161013,-4.459316453704832
5D6,3,4,34.6875,108.9375,32.3125,111.3125,126771,181102,4,2021-10-26T13:30:00Z,2021-10-26T22:30:00Z,1,343.62197976979473,139.3822941050551,24.83191005459346,-29.088890267099362,-6.490719865036015,-4.210685512298581
5D6,3,4,34.4375,108.9375,30.9375,110.9375,126773,180369,5,2021-10-26T13:30:00Z,2021-10-26T22:30:00Z,1,431.059225761213,153.6629156939889,21.230145573271404,-43.08757615092922,-6.761406738082887,-1.9027980298767082
5D6,3,4,34.8125,109.6875,31.8125,111.9375,128258,182346,6,2021-10-26T13:30:00Z,2021-10-26T22:30:00Z,1,393.17381371426023,147.1764206841579,23.658178925098593,-36.84792641897813,-8.707467943161017,-4.356764309173583
5D6,3,4,34.0625,109.4375,33.0625,112.1875,127768,182832,7,2021-10-26T13:30:00Z,2021-10-26T22:30:00Z,1,278.3875355244986,112.71347995885424,28.504658753050297,-11.988915114593807,-10.121919493942265,-1.5892030201110827
