tag_id,stap_id,type,lat,lon,ind,j,interp,known
5CF,4,simulation,60.699999999999996,92.69999999999999,5647,10,,FALSE
5CF,5,simulation,56.699999999999996,94.5,7872,1,,FALSE
5CF,5,simulation,57.3,92.30000000000001,5174,2,,FALSE
5CF,5,simulation,56.699999999999996,98.1,12282,3,,FALSE
5CF,5,simulation,58.1,98.1,12275,4,,FALSE
5CF,5,simulation,59.3,96.9,10799,5,,FALSE
5CF,5,simulation,58.5,99.5,13988,6,,FALSE
5CF,5,simulation,57.1,97.1,11055,7,,FALSE
5CF,5,simulation,57.1,99.30000000000001,13750,8,,FALSE
5CF,5,simulation,57.1,99.5,13995,9,,FALSE
5CF,5,simulation,57.3,98.9,13259,10,,FALSE
5CF,6,simulation,57.1,98.30000000000001,12525,1,,FALSE
5CF,6,simulation,58.699999999999996,96.30000000000001,10067,2,,FALSE
5CF,6,simulation,57.1,98.9,13260,3,,FALSE
5CF,6,simulation,56.9,98.9,13261,4,,FALSE
5CF,6,simulation,58.699999999999996,96.9,10802,5,,FALSE
5CF,6,simulation,58.1,98.1,12275,6,,FALSE
5CF,6,simulation,58.5,97.9,12028,7,,FALSE
5CF,6,simulation,57.3,98.69999999999999,13014,8,,FALSE
5CF,6,simulation,57.5,97.5,11543,9,,FALSE
5CF,6,simulation,57.1,98.9,13260,10,,FALSE
5CF,7,simulation,54.699999999999996,101.9,16947,1,,FALSE
5CF,7,simulation,56.1,103.9,19390,2,,FALSE
5CF,7,simulation,55.3,101.69999999999999,16699,3,,FALSE
5CF,7,simulation,57.3,100.9,15709,4,,FALSE
5CF,7,simulation,56.9,102.1,17181,5,,FALSE
5CF,7,simulation,56.3,103.1,18409,6,,FALSE
5CF,7,simulation,57.5,103.1,18403,7,,FALSE
5CF,7,simulation,55.9,102.9,18166,8,,FALSE
5CF,7,simulation,55.699999999999996,101.69999999999999,16697,9,,FALSE
5CF,7,simulation,55.1,101.1,15965,10,,FALSE
5CF,8,simulation,51.1,106.69999999999999,22845,1,,FALSE
5CF,8,simulation,53.1,106.5,22590,2,,FALSE
5CF,8,simulation,53.1,106.69999999999999,22835,3,,FALSE
5CF,8,simulation,51.9,107.30000000000001,23576,4,,FALSE
5CF,8,simulation,53.5,107.69999999999999,24058,5,,FALSE
5CF,8,simulation,54.1,105.69999999999999,21605,6,,FALSE
5CF,8,simulation,51.9,104.30000000000001,19901,7,,FALSE
5CF,8,simulation,51.3,109.9,26764,8,,FALSE
5CF,8,simulation,52.9,106.5,22591,9,,FALSE
5CF,8,simulation,51.5,108.5,25048,10,,FALSE
5CF,9,simulation,47.9,110.69999999999999,27761,1,,FALSE
5CF,9,simulation,49.1,109.69999999999999,26530,2,,FALSE
5CF,9,simulation,48.1,110.1,27025,3,,FALSE
5CF,9,simulation,48.3,110.1,27024,4,,FALSE
5CF,9,simulation,48.699999999999996,109.5,26287,5,,FALSE
5CF,9,simulation,49.1,109.9,26775,6,,FALSE
5CF,9,simulation,48.1,109.5,26290,7,,FALSE
5CF,9,simulation,48.1,110.30000000000001,27270,8,,FALSE
5CF,9,simulation,47.9,109.5,26291,9,,FALSE
5CF,9,simulation,47.5,109.9,26783,10,,FALSE
5CF,10,simulation,48.3,110.9,28004,1,,FALSE
5CF,10,simulation,48.5,110.69999999999999,27758,2,,FALSE
5CF,10,simulation,48.3,111.5,28739,3,,FALSE
5CF,10,simulation,47.699999999999996,110.5,27517,4,,FALSE
5CF,10,simulation,48.3,110.69999999999999,27759,5,,FALSE
5CF,10,simulation,48.3,111.1,28249,6,,FALSE
5CF,10,simulation,48.1,110.5,27515,7,,FALSE
5CF,10,simulation,47.9,111.1,28251,8,,FALSE
5CF,10,simulation,47.699999999999996,110.69999999999999,27762,9,,FALSE
5CF,10,simulation,47.3,110.1,27029,10,,FALSE
5CF,11,simulation,48.9,113.1,30696,1,,FALSE
5CF,11,simulation,48.1,111.5,28740,2,,FALSE
5CF,11,simulation,48.1,111.5,28740,3,,FALSE
5CF,11,simulation,47.3,109.9,26784,4,,FALSE
5CF,11,simulation,47.9,110.9,28006,5,,FALSE
5CF,11,simulation,47.9,110.9,28006,6,,FALSE
5CF,11,simulation,47.5,110.69999999999999,27763,7,,FALSE
5CF,11,simulation,49.5,112.30000000000001,29713,8,,FALSE
5CF,11,simulation,47.1,109.5,26295,9,,FALSE
5CF,11,simulation,48.3,111.1,28249,10,,FALSE
5CF,12,simulation,42.1,112.5,29995,1,,FALSE
5CF,12,simulation,42.1,113.9,31710,2,,FALSE
5CF,12,simulation,42.3,114.9,32934,3,,FALSE
5CF,12,simulation,42.699999999999996,109.9,26807,4,,FALSE
5CF,12,simulation,42.49999999999999,112.9,30483,5,,FALSE
5CF,12,simulation,39.699999999999996,112.69999999999999,30252,6,,FALSE
5CF,12,simulation,38.9,113.69999999999999,31481,7,,FALSE
5CF,12,simulation,42.3,112.1,29504,8,,FALSE
5CF,12,simulation,41.1,114.30000000000001,32205,9,,FALSE
5CF,12,simulation,39.9,111.5,28781,10,,FALSE
5CF,13,simulation,39.3,111.69999999999999,29029,1,,FALSE
5CF,13,simulation,40.3,113.5,31229,2,,FALSE
5CF,13,simulation,39.49999999999999,112.69999999999999,30253,3,,FALSE
5CF,13,simulation,39.3,112.69999999999999,30254,4,,FALSE
5CF,13,simulation,39.3,112.1,29519,5,,FALSE
5CF,13,simulation,38.699999999999996,111.5,28787,6,,FALSE
5CF,13,simulation,40.3,112.1,29514,7,,FALSE
5CF,13,simulation,39.699999999999996,112.30000000000001,29762,8,,FALSE
5CF,13,simulation,39.1,112.5,30010,9,,FALSE
5CF,13,simulation,38.699999999999996,114.1,31972,10,,FALSE
5CF,14,simulation,37.699999999999996,111.1,28302,1,,FALSE
5CF,14,simulation,36.49999999999999,111.1,28308,2,,FALSE
5CF,14,simulation,35.3,112.5,30029,3,,FALSE
5CF,14,simulation,37.3,110.69999999999999,27814,4,,FALSE
5CF,14,simulation,36.1,109.30000000000001,26105,5,,FALSE
5CF,14,simulation,38.1,110.9,28055,6,,FALSE
5CF,14,simulation,36.49999999999999,110.9,28063,7,,FALSE
5CF,14,simulation,37.49999999999999,109.69999999999999,26588,8,,FALSE
5CF,14,simulation,36.1,110.5,27575,9,,FALSE
5CF,14,simulation,35.699999999999996,111.69999999999999,29047,10,,FALSE
5CF,15,simulation,35.699999999999996,110.5,27577,1,,FALSE
5CF,15,simulation,34.3,109.69999999999999,26604,2,,FALSE
5CF,15,simulation,34.49999999999999,110.30000000000001,27338,3,,FALSE
5CF,15,simulation,35.49999999999999,111.30000000000001,28558,4,,FALSE
5CF,15,simulation,34.9,110.5,27581,5,,FALSE
5CF,15,simulation,34.9,108.30000000000001,24886,6,,FALSE
5CF,15,simulation,34.9,110.30000000000001,27336,7,,FALSE
5CF,15,simulation,34.49999999999999,110.9,28073,8,,FALSE
5CF,15,simulation,34.9,111.1,28316,9,,FALSE
5CF,15,simulation,35.1,109.30000000000001,26110,10,,FALSE
5CF,16,simulation,34.49999999999999,110.30000000000001,27338,1,,FALSE
5CF,16,simulation,34.9,109.30000000000001,26111,2,,FALSE
5CF,16,simulation,34.9,109.30000000000001,26111,3,,FALSE
5CF,16,simulation,35.3,109.69999999999999,26599,4,,FALSE
5CF,16,simulation,34.699999999999996,110.69999999999999,27827,5,,FALSE
5CF,16,simulation,34.49999999999999,110.30000000000001,27338,6,,FALSE
5CF,16,simulation,34.49999999999999,109.69999999999999,26603,7,,FALSE
5CF,16,simulation,34.49999999999999,110.1,27093,8,,FALSE
5CF,16,simulation,34.9,109.30000000000001,26111,9,,FALSE
5CF,16,simulation,34.699999999999996,108.9,25622,10,,FALSE
5CF,17,simulation,33.1,108.9,25630,1,,FALSE
5CF,17,simulation,32.9,110.1,27101,2,,FALSE
5CF,17,simulation,32.1,110.1,27105,3,,FALSE
5CF,17,simulation,32.3,109.1,25879,4,,FALSE
5CF,17,simulation,31.499999999999996,109.69999999999999,26618,5,,FALSE
5CF,17,simulation,32.3,110.1,27104,6,,FALSE
5CF,17,simulation,32.49999999999999,107.5,23918,7,,FALSE
5CF,17,simulation,32.49999999999999,111.1,28328,8,,FALSE
5CF,17,simulation,31.499999999999996,110.69999999999999,27843,9,,FALSE
5CF,17,simulation,32.9,108.69999999999999,25386,10,,FALSE
5CF,18,simulation,32.49999999999999,108.69999999999999,25388,1,,FALSE
5CF,18,simulation,30.9,110.5,27601,2,,FALSE
5CF,18,simulation,30.9,110.30000000000001,27356,3,,FALSE
5CF,18,simulation,30.9,109.9,26866,4,,FALSE
5CF,18,simulation,31.299999999999997,108.69999999999999,25394,5,,FALSE
5CF,18,simulation,30.699999999999996,110.30000000000001,27357,6,,FALSE
5CF,18,simulation,31.499999999999996,107.1,23433,7,,FALSE
5CF,18,simulation,30.299999999999997,110.69999999999999,27849,8,,FALSE
5CF,18,simulation,32.49999999999999,107.69999999999999,24163,9,,FALSE
5CF,18,simulation,31.499999999999996,109.30000000000001,26128,10,,FALSE
5CF,19,simulation,30.699999999999996,109.5,26377,1,,FALSE
5CF,19,simulation,31.499999999999996,107.69999999999999,24168,2,,FALSE
5CF,19,simulation,30.9,106.1,22211,3,,FALSE
5CF,19,simulation,30.699999999999996,108.69999999999999,25397,4,,FALSE
5CF,19,simulation,29.699999999999996,106.9,23197,5,,FALSE
5CF,19,simulation,30.099999999999994,107.1,23440,6,,FALSE
5CF,19,simulation,30.5,107.30000000000001,23683,7,,FALSE
5CF,19,simulation,30.099999999999994,107.69999999999999,24175,8,,FALSE
5CF,19,simulation,29.699999999999996,106.69999999999999,22952,9,,FALSE
5CF,19,simulation,30.9,107.9,24416,10,,FALSE
5CF,20,simulation,30.099999999999994,108.1,24665,1,,FALSE
5CF,20,simulation,30.9,107.30000000000001,23681,2,,FALSE
5CF,20,simulation,30.299999999999997,106.69999999999999,22949,3,,FALSE
5CF,20,simulation,29.9,107.5,23931,4,,FALSE
5CF,20,simulation,29.299999999999997,106.5,22709,5,,FALSE
5CF,20,simulation,29.9,106.9,23196,6,,FALSE
5CF,20,simulation,29.5,107.5,23933,7,,FALSE
5CF,20,simulation,29.699999999999996,106.9,23197,8,,FALSE
5CF,20,simulation,29.9,106.30000000000001,22461,9,,FALSE
5CF,20,simulation,29.699999999999996,107.30000000000001,23687,10,,FALSE
5CF,21,simulation,25.699999999999996,104.9,20767,1,,FALSE
5CF,21,simulation,28.9,103.5,19036,2,,FALSE
5CF,21,simulation,27.099999999999994,106.5,22720,3,,FALSE
5CF,21,simulation,28.299999999999997,107.5,23939,4,,FALSE
5CF,21,simulation,27.099999999999994,106.30000000000001,22475,5,,FALSE
5CF,21,simulation,30.299999999999997,109.1,25889,6,,FALSE
5CF,21,simulation,27.5,104.1,19778,7,,FALSE
5CF,21,simulation,26.099999999999994,106.69999999999999,22970,8,,FALSE
5CF,21,simulation,29.5,103.5,19033,9,,FALSE
