tag_id,stap_id,start,end,known_lat,known_lon,include
5D8,24,2022-05-03T18:30:00Z,2022-05-28T23:30:00Z,37.00182899,101.751121,TRUE
5E5,1,2021-08-15T01:00:00Z,2021-10-26T13:30:00Z,37.044269,101.725552,TRUE
5E5,2,2021-10-26T22:30:00Z,2021-10-29T13:30:00Z,,,TRUE
5E5,3,2021-10-29T21:30:00Z,2021-11-22T10:30:00Z,,,TRUE
5E5,4,2021-11-22T21:30:00Z,2021-11-27T11:30:00Z,,,FALSE
5E5,5,2021-11-27T21:30:00Z,2021-12-03T12:30:00Z,,,FALSE
5E5,6,2021-12-03T23:30:00Z,2021-12-04T11:30:00Z,,,FALSE
5E5,7,2021-12-04T17:30:00Z,2021-12-05T16:30:00Z,,,FALSE
5E5,8,2021-12-05T19:30:00Z,2021-12-08T14:30:00Z,,,FALSE
5E5,9,2021-12-08T17:30:00Z,2022-01-06T18:30:00Z,,,FALSE
5E5,10,2022-01-06T20:30:00Z,2022-03-12T20:30:00Z,,,FALSE
5E5,11,2022-03-12T21:30:00Z,2022-04-13T13:30:00Z,,,TRUE
5E5,12,2022-04-13T23:30:00Z,2022-04-14T13:30:00Z,,,TRUE
5E5,13,2022-04-14T23:30:00Z,2022-04-15T13:30:00Z,,,TRUE
5E5,14,2022-04-15T15:30:00Z,2022-04-20T13:30:00Z,,,TRUE
5E5,15,2022-04-20T22:30:00Z,2022-04-21T12:30:00Z,,,TRUE
5E5,16,2022-04-21T20:30:00Z,2022-04-26T12:30:00Z,,,TRUE
5E5,17,2022-04-26T21:30:00Z,2022-04-28T12:30:00Z,,,TRUE
5E5,18,2022-04-28T22:30:00Z,2022-04-30T13:30:00Z,,,TRUE
5E5,19,2022-04-30T20:30:00Z,2022-05-02T12:30:00Z,,,TRUE
5E5,20,2022-05-02T17:30:00Z,2022-05-28T23:30:00Z,37.044269,101.725552,TRUE
5E7,1,2021-08-15T01:00:00Z,2021-08-25T15:30:00Z,37.04428903,101.724188,TRUE
5E7,2,2021-08-25T21:30:00Z,2021-08-26T13:30:00Z,,,TRUE
5E7,3,2021-08-26T17:30:00Z,2021-08-28T12:30:00Z,,,TRUE
5E7,4,2021-08-28T18:30:00Z,2021-08-29T14:30:00Z,,,TRUE
5E7,5,2021-08-29T16:30:00Z,2021-08-30T18:30:00Z,,,TRUE
5E7,6,2021-08-30T20:30:00Z,2021-10-28T11:30:00Z,,,TRUE
5E7,7,2021-10-28T21:30:00Z,2021-10-29T12:30:00Z,,,TRUE
5E7,8,2021-10-29T22:30:00Z,2021-10-30T11:30:00Z,,,TRUE
5E7,9,2021-10-30T17:30:00Z,2021-11-07T13:30:00Z,,,TRUE
5E7,10,2021-11-07T18:30:00Z,2021-11-08T18:30:00Z,,,TRUE
5E7,11,2021-11-08T21:30:00Z,2021-11-25T10:30:00Z,,,TRUE
5E7,12,2021-11-25T22:30:00Z,2021-11-26T10:30:00Z,,,FALSE
5E7,13,2021-11-27T00:30:00Z,2021-11-27T13:30:00Z,,,FALSE
5E7,14,2021-11-27T17:30:00Z,2021-12-02T12:30:00Z,,,FALSE
5E7,15,2021-12-02T19:30:00Z,2022-04-08T14:30:00Z,,,TRUE
5E7,16,2022-04-08T23:30:00Z,2022-04-09T12:30:00Z,,,TRUE
5E7,17,2022-04-09T22:30:00Z,2022-04-10T13:30:00Z,,,TRUE
5E7,18,2022-04-10T22:30:00Z,2022-04-12T17:30:00Z,,,TRUE
5E7,19,2022-04-12T22:30:00Z,2022-04-13T14:30:00Z,,,TRUE
5E7,20,2022-04-13T22:30:00Z,2022-04-14T17:30:00Z,,,TRUE
5E7,21,2022-04-14T19:30:00Z,2022-04-20T13:30:00Z,,,TRUE
5E7,22,2022-04-20T22:30:00Z,2022-04-21T15:30:00Z,,,TRUE
5E7,23,2022-04-21T21:30:00Z,2022-04-30T13:30:00Z,,,TRUE
5E7,24,2022-04-30T17:30:00Z,2022-05-01T12:30:00Z,,,TRUE
5E7,25,2022-05-01T21:30:00Z,2022-05-02T12:30:00Z,,,TRUE
5E7,26,2022-05-02T18:30:00Z,2022-05-03T12:30:00Z,,,TRUE
5E7,27,2022-05-03T17:30:00Z,2022-05-05T12:30:00Z,,,TRUE
5E7,28,2022-05-05T21:30:00Z,2022-05-06T14:30:00Z,,,TRUE
5E7,29,2022-05-06T16:30:00Z,2022-05-29T23:30:00Z,37.04428903,101.724188,TRUE
